"balise","direction","station","track","type","train_direction"
13239,1,Koivukylä,3,DEPARTURE,1
13875,1,Koivukylä,3,DEPARTURE,1
13239,2,Koivukylä,3,ARRIVAL,2
13875,2,Koivukylä,3,ARRIVAL,2
13520,1,Koivukylä,3,DEPARTURE,2
13786,1,Koivukylä,3,DEPARTURE,2
13876,2,Koivukylä,4,ARRIVAL,1
13836,2,Koivukylä,4,ARRIVAL,1
13877,1,Koivukylä,4,DEPARTURE,1
13241,1,Koivukylä,4,DEPARTURE,1
13877,2,Koivukylä,4,ARRIVAL,2
13241,2,Koivukylä,4,ARRIVAL,2
13876,1,Koivukylä,4,DEPARTURE,2
13836,1,Koivukylä,4,DEPARTURE,2
19312,2,Korso,3,ARRIVAL,1
19012,2,Korso,3,ARRIVAL,1
19321,1,Korso,3,DEPARTURE,1
19521,1,Korso,3,DEPARTURE,1
19321,2,Korso,3,ARRIVAL,2
19521,2,Korso,3,ARRIVAL,2
19312,1,Korso,3,DEPARTURE,2
19012,1,Korso,3,DEPARTURE,2
19314,2,Korso,4,ARRIVAL,1
19014,2,Korso,4,ARRIVAL,1
19323,1,Korso,4,DEPARTURE,1
19523,1,Korso,4,DEPARTURE,1
19323,2,Korso,4,ARRIVAL,2
19523,2,Korso,4,ARRIVAL,2
19314,1,Korso,4,DEPARTURE,2
19014,1,Korso,4,DEPARTURE,2
13004,2,Käpylä,3,ARRIVAL,1
10344,2,Käpylä,3,ARRIVAL,1
13705,1,Käpylä,3,DEPARTURE,1
9577,1,Käpylä,3,DEPARTURE,1
13017,1,Käpylä,3,DEPARTURE,1
13705,2,Käpylä,3,ARRIVAL,2
9577,2,Käpylä,3,ARRIVAL,2
13017,2,Käpylä,3,ARRIVAL,2
13004,1,Käpylä,3,DEPARTURE,2
10344,1,Käpylä,3,DEPARTURE,2
13006,2,Käpylä,4,ARRIVAL,1
10346,2,Käpylä,4,ARRIVAL,1
13319,1,Käpylä,4,DEPARTURE,1
13019,1,Käpylä,4,DEPARTURE,1
9467,1,Käpylä,4,DEPARTURE,1
13319,2,Käpylä,4,ARRIVAL,2
13019,2,Käpylä,4,ARRIVAL,2
9467,2,Käpylä,4,ARRIVAL,2
13006,1,Käpylä,4,DEPARTURE,2
10346,1,Käpylä,4,DEPARTURE,2
61746,2,Leinelä,1,ARRIVAL,1
61046,2,Leinelä,1,ARRIVAL,1
61531,1,Leinelä,1,DEPARTURE,1
61049,1,Leinelä,1,DEPARTURE,1
61531,2,Leinelä,1,ARRIVAL,2
61049,2,Leinelä,1,ARRIVAL,2
61746,1,Leinelä,1,DEPARTURE,2
61046,1,Leinelä,1,DEPARTURE,2
61048,2,Leinelä,2,ARRIVAL,1
61744,2,Leinelä,2,ARRIVAL,1
61051,1,Leinelä,2,DEPARTURE,1
61511,1,Leinelä,2,DEPARTURE,1
61051,2,Leinelä,2,ARRIVAL,2
61511,2,Leinelä,2,ARRIVAL,2
61048,1,Leinelä,2,DEPARTURE,2
61744,1,Leinelä,2,DEPARTURE,2
61734,2,Lentoasema,1,ARRIVAL,1
61834,2,Lentoasema,1,ARRIVAL,1
61034,2,Lentoasema,1,ARRIVAL,1
61737,1,Lentoasema,1,DEPARTURE,1
61037,1,Lentoasema,1,DEPARTURE,1
61837,1,Lentoasema,1,DEPARTURE,1
61737,2,Lentoasema,1,ARRIVAL,2
61037,2,Lentoasema,1,ARRIVAL,2
61837,2,Lentoasema,1,ARRIVAL,2
